Ref.,アクセス,画面,名称,機能一覧
P01,ボトムバー,ホーム,HomePage,"F060
F061
F062
F063
F064
F065
F066
F043
F045
F046
F047
F053
F054"
P02,ボトムバー,一覧,TransactionListPage,"F008
F009
F010
F011
F012
F013"
P03,ボトムバー,入力,TransactionAddPage,"F001
F002
F003
F004
F005"
P04,ボトムバー,内訳,BreakdownPage,"F014
F015
F018
F019
F020"
P05,ボトムバー,推移,TrendPage,"F021
F022
F023
F024
F025
F026
F027
F028"
P06,設定内,CSVエクスポート,CsvExportPage,"F029
F030
F031
F032"
P07,設定内,カテゴリ管理,CategoryManagePage,F035
P08,設定内,リマインダー管理,ReminderManagePage,F036
P09,設定内,やりくり費設定,BudgetSettingsPage,F042
P10,トップバー,設定,SettingsPage,"F033
F034
F037
F039"
P11,一覧内,編集,TransactionEditPage,F009
P12,設定内,年間スケジュール,AnnualSchedulePage,"F048
F050
F051
F055
F056
F057
F058"
